,department_name,homs_per_100k,total_pop,cluster_category,group
2574,"Albuquerque, N.M.",5.36793624323193,558874.0,1,high
2575,"Arlington, Texas",3.3944685828877,382976.0,1,high
2576,Atlanta,20.4682159418791,454363.0,0,low
2577,"Aurora, Colo.",2.56448248743404,350948.0,1,high
2578,"Austin, Texas",3.54012062961045,903924.0,1,high
2579,Baltimore,33.8405133493608,623513.0,2,mid
2580,Boston,8.09886111675654,654413.0,1,high
2581,"Buffalo, N.Y.",23.218107027734,258419.0,0,low
2582,"Charlotte-Mecklenburg, N.C.",5.48478497308954,856916.0,1,high
2583,Chicago,15.2342718990823,2724121.0,0,low
2584,Cincinnati,20.156481484592,297671.0,0,low
2585,Cleveland,16.209749006188,388655.0,0,low
2586,"Columbus, Ohio",10.2309670911916,830811.0,1,high
2587,Dallas,9.11665865029441,1272396.0,1,high
2588,Denver,4.65918091599497,665353.0,1,high
2589,Detroit,43.5230920674053,684694.0,2,mid
2590,"El Paso, Texas",3.0869959560353,680273.0,1,high
2591,"Fairfax County, Va.",0.907688118362531,1101700.0,1,high
2592,"Fort Worth, Texas",6.58461163836319,804907.0,1,high
2593,"Fresno, Calif.",9.15845491019843,513187.0,1,high
2594,Houston,10.9012299019835,2219933.0,1,high
2595,Indianapolis,15.8464202237608,858238.0,0,low
2596,"Jacksonville, Fla.",11.2146781445782,856021.0,1,high
2597,"Kansas City, Mo.",16.8653144527205,468417.0,0,low
2598,Las Vegas,7.96917366854378,1530899.0,1,high
2599,"Long Beach, Calif.",4.88195227148749,471123.0,1,high
2600,Los Angeles,6.65511066425171,3906772.0,1,high
2601,"Los Angeles County, Calif.",6.3852423559206,1111939.0,1,high
2602,"Louisville, Ky.",8.26312139410662,677710.0,1,high
2603,"Memphis, Tenn.",21.2239014722364,654922.0,0,low
2604,"Mesa, Ariz.",2.81329259108576,462092.0,1,high
2605,Miami,19.1944947345472,421996.0,0,low
2606,"Miami-Dade County, Fla.",7.02792428582903,1195232.0,1,high
2607,Milwaukee,14.3244044545567,600374.0,0,low
2608,Minneapolis,7.66452142480981,404461.0,1,high
2609,"Montgomery County, Md.",1.68454263676504,1009176.0,1,high
2610,"Nashville, Tenn.",6.48459368616728,647689.0,1,high
2611,"Nassau County, N.Y.",0.565410983108347,1061175.0,1,high
2612,New Orleans,38.7483757972478,387113.0,2,mid
2613,New York City,3.9296959689816,8473938.0,1,high
2614,"Newark, N.J.",33.6784780194189,279110.0,2,mid
2615,"Oakland, Calif.",19.5124806704488,409994.0,0,low
2616,Oklahoma City,7.28184797119625,617975.0,1,high
2617,"Omaha, Neb.",7.29818799676143,438465.0,1,high
2618,"Orlando, Fla.",5.77645133339752,259675.0,1,high
2619,Philadelphia,15.9070004913211,1559062.0,0,low
2620,Phoenix,7.45170121031315,1529852.0,1,high
2621,Pittsburgh,22.4307815339404,307613.0,0,low
2622,"Portland, Ore.",4.22302784599592,615672.0,1,high
2623,"Prince George's County, Md.",5.6918435881382,685191.0,1,high
2624,"Sacramento, Calif.",5.79989933031877,482767.0,1,high
2625,Salt Lake City,3.63885885386343,192368.0,1,high
2626,San Antonio,7.21053718502028,1428465.0,1,high
2627,San Diego,2.33800203113926,1368690.0,1,high
2628,San Francisco,5.29228713833098,850294.0,1,high
2629,San Jose,3.16932411192072,1009679.0,1,high
2630,Seattle,3.9191450234395,663410.0,1,high
2631,"St. Louis, Mo.",49.9099110410768,318574.0,2,mid
2632,"Suffolk County, N.Y.",2.16183496551873,1341453.0,1,high
2633,"Tampa, Fla.",7.84041397385782,357124.0,1,high
2634,"Tucson, Ariz.",6.63723526913041,527328.0,1,high
2635,"Tulsa, Okla.",11.5127791848952,399556.0,1,high
2636,"Virginia Beach, Va.",3.76854901995558,451102.0,1,high
2637,"Washington, D.C.",15.9358196247342,658893.0,0,low
2638,"Wichita, Kan.",5.41945273850108,387493.0,1,high
